1,115.860,420.806,0.493,2;
2,115.320,421.382,0.488,2;
3,114.687,421.883,0.621,2;
4,113.944,422.275,0.589,2;
5,113.251,422.550,0.654,2;
6,112.458,422.772,0.655,2;
7,111.523,422.785,0.522,2;
8,110.589,422.966,0.651,2;
9,108.137,422.798,0.673,1;
10,95.993,422.698,0.543,1;
11,81.321,422.611,0.544,1;
12,70.700,422.502,0.606,1;
13,57.322,422.389,0.576,1;
14,52.022,422.345,0.553,2;
15,50.874,422.310,0.566,2;
16,49.650,422.157,0.560,2;
17,48.557,421.900,0.569,2;
18,47.662,421.566,0.577,2;
19,46.815,421.076,0.563,2;
20,46.117,420.556,0.567,2;
21,45.544,419.957,0.564,2;
22,45.112,419.385,0.562,2;
23,44.739,418.697,0.551,2;
24,44.454,418.023,0.771,2;
25,44.315,417.256,0.539,2;
26,44.114,416.492,0.917,2;
27,44.042,415.695,0.724,2;
28,44.028,414.962,0.824,2;
29,44.261,407.976,0.440,1;
30,44.330,395.455,0.462,1;
31,44.462,381.677,0.477,1;
32,44.595,366.505,0.452,1;
33,44.685,354.651,0.395,1;
34,44.841,336.056,0.230,1;
35,44.997,317.289,0.239,1;
36,45.095,305.436,0.249,1;
37,45.192,290.491,0.275,1;
38,45.273,278.195,0.278,1;
39,45.345,269.169,0.248,2;
40,45.354,268.202,0.239,2;
41,45.373,267.011,0.243,2;
42,45.521,265.961,0.074,2;
43,45.820,264.831,0.100,2;
44,46.047,264.113,0.118,2;
45,46.265,263.443,0.090,2;
46,46.720,262.776,0.184,2;
47,47.058,262.305,0.176,2;
48,47.563,261.865,0.226,2;
49,48.067,261.412,0.251,2;
50,48.741,261.001,0.217,2;
51,49.179,260.725,0.219,2;
52,49.485,260.579,-1.311,2;
53,49.910,260.452,0.221,2;
54,55.982,259.841,0.129,1;
55,66.356,259.926,0.312,1;
56,80.157,260.090,0.088,1;
57,95.201,260.216,0.509,1;
58,104.799,260.333,0.544,1;
59,111.442,260.420,0.557,2;
60,112.297,260.414,0.569,2;
61,113.093,260.531,0.561,2;
62,113.876,260.687,0.544,2;
63,114.689,260.899,0.564,2;
64,115.305,261.127,0.578,2;
65,115.844,261.403,0.579,2;
66,116.408,261.740,-12.000,2;
67,116.895,262.131,-12.000,2;
68,117.356,262.545,-12.000,2;
69,117.763,263.043,-12.000,2;
70,118.088,263.628,-12.000,2;
71,118.370,264.161,-12.000,2;
72,118.734,264.826,0.621,2;
73,119.017,265.477,0.743,2;
74,118.521,275.637,0.538,1;
75,118.426,288.277,0.544,1;
76,118.315,301.542,0.572,1;
77,118.227,310.197,0.614,1;
78,118.159,321.490,0.639,1;
79,118.014,339.597,0.664,1;
80,117.912,351.755,0.672,1;
81,117.778,368.158,0.699,1;
82,117.702,378.409,0.712,1;
83,117.583,393.608,0.718,1;
84,117.530,415.132,0.602,2;
85,117.534,416.134,0.557,2;
86,117.411,417.087,0.588,2;
87,117.269,417.899,0.556,2;
88,117.051,418.694,0.506,2;
89,116.749,419.412,0.533,2;
90,116.357,420.119,0.520,2;
91,115.860,420.806,0.493,2;
